canonical_name,group,url,source,headers_json,tv_status,tv_playlist_ms,tv_segment_ms,seg_bytes,codec,width,height,verdict
CCTV1 综合,央视,http://198.204.228.26/live/cctv1hd.m3u8,guovin,{},ok,1360,1534,200001,h264,1920,1080,pass
CCTV1 综合,央视,http://204.12.221.218:8181/3m1080p/cctv1.m3u8,guovin,{},ok,1376,1874,200001,h264,1920,1080,pass
CCTV1 综合,央视,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009,guovin,{},ok,2092,1576,200001,h264,1280,720,pass
CCTV1 综合,央视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd,guovin,{},ok,2199,2004,200001,h264,1920,1080,pass
CCTV1 综合,央视,http://69.30.245.50/live/cctv1.m3u8,cn,{},short-body,510,510,60,,,,fail
CCTV1 综合,央视,http://74.91.26.218:82/live/cctv1hd.m3u8,cn,{},ok,1185,1475,200001,h264,1280,720,pass
CCTV1 综合,央视,http://gslbserv.itv.cmvideo.cn/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3,itv,{},http-403,279,0,0,,,,fail
CCTV1 综合,央视,http://gslbserv.itv.cmvideo.cn/5000000004000002226/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=3,itv,{},http-403,275,0,0,,,,fail
CCTV1 综合,央视,http://gslbserv.itv.cmvideo.cn/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3,itv,{},skipped-cap,,,,,,,skipped
CCTV1 综合,央视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8,builtin-mobile,{},skipped-cap,,,,,,,skipped
CCTV2 财经,央视,http://107.150.60.122/live/cctv2hd.m3u8,guovin,{},ok,1298,1574,200001,h264,1920,1080,pass
CCTV2 财经,央视,http://192.151.150.154/live/cctv2hd.m3u8,guovin,{},ok,1345,1508,200001,h264,1920,1080,pass
CCTV2 财经,央视,http://198.204.228.26/live/cctv2hd.m3u8,guovin,{},ok,1450,1342,200001,h264,1280,720,pass
CCTV2 财经,央视,http://204.12.221.218:8181/3m1080p/cctv2.m3u8,guovin,{},ok,1088,1362,200001,h264,1280,720,pass
CCTV2 财经,央视,http://74.91.26.218:82/live/cctv2hd.m3u8,cn,{},ok,1276,1300,200001,h264,1280,720,pass
CCTV2 财经,央视,http://bztv.tvbus.cc:8081/cdnlive/cctv2.m3u8,guovin,{},ok,1207,1546,200001,h264,1280,720,pass
CCTV2 财经,央视,http://gslbserv.itv.cmvideo.cn/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3,itv,{},http-403,504,0,0,,,,fail
CCTV2 财经,央视,http://gslbserv.itv.cmvideo.cn/6000000001000014161/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=3,itv,{},http-403,310,0,0,,,,fail
CCTV2 财经,央视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8,builtin-mobile,{},skipped-cap,,,,,,,skipped
CCTV3 综艺,央视,http://107.150.60.122/live/cctv3hd.m3u8,guovin,{},ok,1098,1405,200001,h264,1920,1080,pass
CCTV3 综艺,央视,http://112.30.73.119:229/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0,guovin,{},ok,72,510,200001,h264,1920,1080,pass
CCTV3 综艺,央视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd,guovin,{},ok,2119,2389,200001,h264,1280,720,pass
CCTV3 综艺,央视,http://69.30.245.50/live/cctv3.m3u8,guovin,{},ok,1212,1759,200001,h264,1920,1080,pass
CCTV3 综艺,央视,http://74.91.26.218:82/live/cctv3hd.m3u8,cn,{},ok,2135,1305,200001,h264,1920,1080,pass
CCTV3 综艺,央视,http://gslbserv.itv.cmvideo.cn/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3,itv,{},http-403,234,0,0,,,,fail
CCTV3 综艺,央视,http://gslbserv.itv.cmvideo.cn/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3,itv,{},http-403,286,0,0,,,,fail
CCTV3 综艺,央视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8,builtin-mobile,{},no-response,10001,0,0,,,,fail
CCTV4 中文国际,央视,http://107.150.60.122/live/cctv4hd.m3u8,guovin,{},ok,1106,1318,200001,h264,1920,1080,pass
CCTV4 中文国际,央视,http://173.208.212.130:8181/1080p/cctv4.m3u8,guovin,{},ok,1167,1808,200001,h264,1920,1080,pass
CCTV4 中文国际,央视,http://207.56.13.146:81/cdnlive/cctv4.m3u8,guovin,{},ok,1105,1893,200001,h264,1280,720,pass
CCTV4 中文国际,央视,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub,guovin,{},ok,2073,2748,200001,h264,1920,1080,pass
CCTV4 中文国际,央视,http://74.91.26.218:82/live/cctv4hd.m3u8,freetv,{},ok,1165,1373,200001,h264,1280,720,pass
CCTV4 中文国际,央视,http://gslbserv.itv.cmvideo.cn/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3,itv,{},http-403,282,0,0,,,,fail
CCTV4 中文国际,央视,http://gslbserv.itv.cmvideo.cn/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3,itv,{},http-403,260,0,0,,,,fail
CCTV4 中文国际,央视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8,builtin-mobile,{},no-response,10001,0,0,,,,fail
CCTV4 欧洲,央视,https://dash2.antik.sk/live/test_cctv_tizen/playlist.m3u8,freetv,{},ok,1370,4091,1064268,h264,1280,720,pass
CCTV4 美洲,央视,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8,freetv,{},variant-http-403,1084,0,0,,,,fail
CCTV5 体育,央视,http://107.150.60.122/live/cctv5hd.m3u8,guovin,{},ok,1252,1414,200001,h264,1920,1080,pass
CCTV5 体育,央视,http://112.30.73.119:9901/tsfile/live/0005_2.m3u8?key=txiptv&playlive=0&authid=0,guovin,{},ok,74,535,200001,h264,1920,1080,pass
CCTV5 体育,央视,http://173.208.212.130:8181/720p/cctv5.m3u8,guovin,{},ok,3123,1456,200001,h264,1920,1080,pass
CCTV5 体育,央视,http://207.56.13.146:81/cdnlive/cctv5.m3u8,guovin,{},ok,2418,1507,200001,h264,1280,720,pass
CCTV5 体育,央视,http://38.75.136.137:98/gslb/dsdqpub/cctv5p.m3u8?auth=testpub,guovin,{},ok,1074,3532,200001,h264,1280,720,pass
CCTV5 体育,央视,http://iptv.huuc.edu.cn/hls/cctv5hd.m3u8,guovin,{},no-response,10000,0,0,,,,fail
CCTV5 体育,央视,https://migu.188766.xyz/?migutoken=3803480da7c3ee6e07115f4bb5827c0d&id=CCTV5&type=yy,guovin,{},no-response,104,0,0,,,,fail
CCTV5 体育,央视,https://www.freetv.top/migu/641886683.m3u8?migutoken=3e5c01f93922de8d1c940fe15bb47349b27e8f7a2e624dde1a83dff3b2a80f58b7624151a3a4d00488edee34f202818557340903382fae02bb754084eb942bd50e59061df36fab62fb5b908903,guovin,{},http-512,302,0,0,,,,fail
CCTV5 体育,央视,https://zby.130519.xyz/PLTV/11/224/3221225734/index.m3u8,guovin,{},skipped-cap,,,,,,,skipped
CCTV5 体育,央视,http://gslbserv.itv.cmvideo.cn/1000000005000025222/1.m3u8?channel-id=ystenlive&Contentid=1000000005000025222&livemode=1&stbId=3,itv,{},skipped-cap,,,,,,,skipped
CCTV5 体育,央视,http://gslbserv.itv.cmvideo.cn/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3,itv,{},skipped-cap,,,,,,,skipped
CCTV5 体育,央视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8,builtin-mobile,{},skipped-cap,,,,,,,skipped
CCTV5+ 体育赛事,央视,http://120.76.248.139/live/bfgd/4200000246.m3u8,guovin,{},seg-http-0,27,12001,0,,,,fail
CCTV5+ 体育赛事,央视,http://223.78.65.165:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0,guovin,{},ok,1581,2973,200001,h264,1920,1080,pass
CCTV5+ 体育赛事,央视,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009,guovin,{},ok,1134,5807,200001,h264,1280,720,pass
CCTV5+ 体育赛事,央视,https://myip.pdtvhd.com/Sports/streams/CCTV5pul.m3u8,cn,{},ok,663,1146,200001,h264,1280,720,pass
CCTV5+ 体育赛事,央视,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus,guovin,{},no-response,107,0,0,,,,fail
CCTV5+ 体育赛事,央视,https://www.freetv.top/migu/641886773.m3u8?migutoken=03a1b82e35e58cd89a95034ecb29e77e50493397000ec2b1e4d1ce59af01e6420d6dbc068c8230ec03be3a35a20eed8714e0959e3570a08713a7a2e8d86085eabf8f1aa85744c80c38343988b2,guovin,{},http-512,364,0,0,,,,fail
CCTV5+ 体育赛事,央视,http://gslbserv.itv.cmvideo.cn/1000000005000265016/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=3,itv,{},http-403,243,0,0,,,,fail
CCTV5+ 体育赛事,央视,http://gslbserv.itv.cmvideo.cn/6000000001000015875/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015875&livemode=1&stbId=3,itv,{},http-403,303,0,0,,,,fail
CCTV5+ 体育赛事,央视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8,builtin-mobile,{},skipped-cap,,,,,,,skipped
CCTV6 电影,央视,http://198.204.228.26/live/cctv6hd.m3u8,guovin,{},ok,2148,1656,200001,h264,1280,720,pass
CCTV6 电影,央视,http://198.204.240.250:82/live/cctv6.m3u8,guovin,{},ok,1772,1281,200001,h264,1280,720,pass
CCTV6 电影,央视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd,guovin,{},ok,1779,3438,200001,h264,1280,720,pass
CCTV6 电影,央视,http://69.30.245.50/live/cctv6.m3u8,cn,{},ok,2181,1333,200001,h264,1280,720,pass
CCTV6 电影,央视,http://74.91.26.218:82/live/cctv6hd.m3u8,guovin,{},ok,1197,1360,200001,h264,1280,720,pass
CCTV6 电影,央视,https://live.eac-news.com/CCTV/streams/cctv6.m3u8,cn,{},http-500,571,0,0,,,,fail
CCTV6 电影,央视,http://gslbserv.itv.cmvideo.cn/1000000001000001737/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=3,itv,{},http-403,252,0,0,,,,fail
