group,new_group,title,country,n_uris,in_current_list,merged_variants,sources,conflict
央视,no,CCTV1 综合,CN,7,CCTV1 综合,CCTV-1 (720p);CCTV-1 综合;CCTV-1;CCTV1,01;02;11;13;18;19;21;23;24,
央视,no,CCTV2 财经,CN,9,CCTV2 财经,CCTV-2 (720p);CCTV-2 财经;CCTV-2;CCTV2,01;02;11;13;18;19;23;24,
央视,no,CCTV3 综艺,CN,8,CCTV3 综艺,CCTV-3;CCTV3;CCTV-3 (720p);CCTV-3 综艺,01;02;11;13;18;19;21;23;24,
央视,no,CCTV4 中文国际,CN,7,CCTV4 中文国际,CCTV-4;CCTV-4 Asia (720p);CCTV-4 中文国际（亚）;CCTV4,01;02;11;13;18;19,
央视,no,CCTV4 欧洲,CN,1,CCTV4 欧洲,CCTV-4 Europe;CCTV-4 中文国际（欧）,02;11,
央视,no,CCTV5 体育,,9,CCTV5 体育,CCTV-5;CCTV5,01;13;18;19;21;23;24,
央视,no,CCTV5+ 体育赛事,,4,CCTV5+ 体育赛事,CCTV-5+;CCTV5+,01;13;18;19,
央视,no,CCTV6 电影,CN,8,CCTV6 电影,CCTV-6;CCTV-6 (1080p);CCTV-6 电影;CCTV6,01;02;11;13;18;19;21;23;24,
央视,no,CCTV7 国防军事,CN,8,CCTV7 国防军事,CCTV-7;CCTV-7 (720p);CCTV-7 国防军事;CCTV7,01;02;11;13;18;19;23;24,
央视,no,CCTV8 电视剧,CN,8,CCTV8 电视剧,CCTV-8;CCTV8;CCTV-8 (720p);CCTV-8 电视剧,01;02;11;13;18;19;21;23,
央视,no,CCTV9 纪录,CN,9,CCTV9 纪录,CCTV-9 (576i);CCTV-9;CCTV9;CCTV-9 纪录,01;02;11;13;18;19;20;23;24,
央视,no,CCTV10 科教,CN,8,CCTV10 科教,CCTV-10;CCTV10;CCTV-10 (720p);CCTV-10 科教,01;02;11;13;18;19;21;23;24,
央视,no,CCTV11 戏曲,CN,9,CCTV11 戏曲,CCTV-11 (720p);CCTV-11 戏曲;CCTV-11;CCTV11,01;02;11;13;18;19;20;23;24,
