name,group,url,sources,headers_json,status,pl_ms,seg_ms,seg_bytes,codec,w,h,verdict
無綫新聞台,港台新闻,https://php.946985.filegear-sg.me/tvbnews.php?id=c,01,{},ok,857,687,200001,unknown,,,pass
無綫新聞台,港台新闻,https://php.946985.filegear-sg.me/tvbnews.php?id=inews,01,{},ok,1103,1548,200001,unknown,,,pass
翡翠台,港台新闻,https://cdn.qd.je/163189/fct,01,{},ok,1414,1148,200001,h264,1920,1080,pass
翡翠台 4K,港台新闻,https://cdn.qd.je/163189/fct4k,01,{},ok,1151,859,200001,hevc,3840,2160,pass
翡翠台,港台新闻,https://cdn.qd.je/163189/fct2,01,{},ok,1509,540,200001,h264,1920,1080,pass
翡翠台,港台新闻,https://cdn.qd.je/163189/fctvtt,01,{},ok,3221,1064,200001,hevc,1920,1080,pass
無綫新聞台,港台新闻,https://cdn.qd.je/163189/wxxw,01,{},ok,1055,571,200001,h264,1920,1080,pass
無綫新聞台,港台新闻,https://cdn.qd.je/163189/wxxwt,01,{},ok,973,662,200001,h264,1280,720,pass
明珠台,港台综艺,https://cdn.qd.je/163189/mzt,01,{},ok,1997,528,200001,h264,1920,1080,pass
明珠台,港台综艺,https://cdn.qd.je/163189/mztvtt,01,{},ok,1389,979,200001,hevc,1920,1080,pass
TVB Plus,港台综艺,https://cdn.qd.je/163189/tvbp2,01,{},variant-http-0,418,0,0,,,,fail
TVB Plus,港台综艺,https://cdn.qd.je/163189/tvbp,01,{},ok,1540,958,200001,h264,1920,1080,pass
TVB Plus,港台综艺,https://cdn.qd.je/163189/tvbpvtt,01,{},ok,1502,1213,200001,hevc,1920,1080,pass
黃金華劇台「WebVTT字幕」,地方,https://cdn.qd.je/163189/hjhjt,01,{},ok,3839,1082,200001,hevc,1920,1080,pass
Now 新聞台,港台新闻,https://cdn.qd.je/163189/now,01,{},ok,1165,866,200001,h264,1920,1080,pass
凤凰卫视中文台,凤凰,https://cdn.qd.je/163189/fhzw,01,{},ok,853,969,200001,h264,1920,1080,pass
凤凰卫视资讯台,凤凰,https://cdn.qd.je/163189/fhzx,01,{},ok,933,970,200001,h264,1920,1080,pass
凤凰卫视香港台,凤凰,https://cdn.qd.je/163189/fhhk,01,{},ok,863,1488,200001,h264,1920,1080,pass
HOY TV,港台新闻,https://cdn.qd.je/163189/hoy,01,{},ok,1146,2291,200001,h264,1920,1080,pass
HOY TV,港台新闻,https://cdn.qd.je/163189/hoy2,01,{},ok,1187,1483,200001,h264,1920,1080,pass
HOY 資訊台,港台新闻,https://cdn.qd.je/163189/hoy78,01,{},ok,1160,789,200001,h264,1920,1080,pass
HOY 國際財經台,港澳台,https://cdn.qd.je/163189/hoy76,01,{},ok,3829,1956,200001,h264,1920,1080,pass
ViuTV,港台新闻,https://cdn.qd.je/163189/viu,01,{},ok,1476,1173,200001,unknown,,,pass
ViuTVsix,港澳台,https://cdn.qd.je/163189/viu6,01,{},ok,2849,1575,200001,h264,1920,1080,pass
RTHK 31,港台新闻,https://cdn.qd.je/163189/rthk31,01,{},ok,983,1439,200001,h264,1920,1080,pass
RTHK 32,港台新闻,https://cdn.qd.je/163189/rthk32,01,{},ok,1168,878,200001,h264,1920,1080,pass
RTHK33,港澳台,https://cdn.qd.je/163189/rthk33,01,{},ok,845,795,200001,hevc,1920,1080,pass
千禧經典台,港台综艺,https://cdn.qd.je/163189/tvbc,01,{},ok,1555,1152,200001,h264,1920,1080,pass
娛樂新聞台,地方,https://cdn.qd.je/163189/ylxw,01,{},ok,751,1275,200001,h264,1920,1080,pass
翡翠台,港台新闻,https://cdn.qd.je/163189/hlt,01,{},ok,2557,1258,200001,h264,1920,1080,pass
翡翠台,港台新闻,https://cdn.qd.je/163189/jade,01,{},ok,950,1284,200001,h264,1920,1080,pass
翡翠台,港台新闻,https://cdn.qd.je/163189/hlfct,01,{},ok,657,789,200001,h264,1280,720,pass
翡翠台,港台新闻,https://cdn.qd.je/163189/jade2,01,{},ok,1757,842,200001,h264,1280,720,pass
TVB1,港澳台,https://cdn.qd.je/163189/tvb1,01,{},ok,990,1249,200001,h264,1920,1080,pass
TVBJ1,港澳台,https://cdn.qd.je/163189/j1,01,{},ok,1841,596,200001,h264,1920,1080,pass
